ASIN,Details Tag,Present
B084PPZXBX,Part Number,True
B084PPZXBX,Form Factor,True
B084PPZXBX,Assembly Required,False
B084PPZXBX,Package Dimensions,False
B084PPZXBX,Annual Energy Consumption,True
B084PPZXBX,Refrigerator Fresh Food Capacity,True
B084PPZXBX,Item Dimensions Lxwxh,True
B084PPZXBX,Country Of Origin,True
B084PPZXBX,Number Of Drawers,False
B084PPZXBX,Number Of Puzzle Pieces,False
B084PPZXBX,Manufacturer,True
B084PPZXBX,Special Features,True
B084PPZXBX,Scale,False
B084PPZXBX,Installation Type,True
B084PPZXBX,Ice Storage Capacity,False
B084PPZXBX,Batteries Required,True
B084PPZXBX,Product Dimensions,False
B084PPZXBX,Material Type(S),False
B084PPZXBX,Item Height,False
B084PPZXBX,Defrost System,True
B084PPZXBX,Packer,True
B084PPZXBX,Customer Reviews,True
B084PPZXBX,Cooling Type,False
B084PPZXBX,Model Number,False
B084PPZXBX,Volume Capacity Name,True
B084PPZXBX,Language:,False
B084PPZXBX,Date First Available,True
B084PPZXBX,Control Console,False
B084PPZXBX,Door Material,False
B084PPZXBX,Certification,True
B084PPZXBX,Colour,True
B084PPZXBX,Noise Level,False
B084PPZXBX,Voltage,True
B084PPZXBX,Asin,True
B084PPZXBX,Freezer Capacity,True
B084PPZXBX,Capacity,True
B084PPZXBX,Importer,True
B084PPZXBX,Manufacturer'S Suggested Maximum Weight,False
B084PPZXBX,Imported By,False
B084PPZXBX,Temperature Rating,False
B084PPZXBX,Material,True
B084PPZXBX,Remote Control Included?,False
B084PPZXBX,Wattage,False
B084PPZXBX,Special Feature,False
B084PPZXBX,Manufacturer Recommended Age,False
B084PPZXBX,Item Width,False
B084PPZXBX,Energy Efficiency,True
B084PPZXBX,Batteries Included,False
B084PPZXBX,Door Orientation,False
B084TGSM2N,Drawer Type,False
B084TGSM2N,Best Sellers Rank,True
B084TGSM2N,Batteries,False
B084TGSM2N,Number Of Shelves,False
B084TGSM2N,Brand,True
B084TGSM2N,Bottle Count,False
B084TGSM2N,Item Model Number,False
B084TGSM2N,Color,False
B084TGSM2N,Generic Name,True
B084TGSM2N,Shelf Type,True
B084TGSM2N,Number Of Memory Sticks,False
B084TGSM2N,Included Components,True
B084TGSM2N,Model,True
B084TGSM2N,Item Weight,True
B084TGSM2N,Capacity Name,False
B084TGSM2N,Net Quantity,True
B084TGSM2N,Part Number,True
B084TGSM2N,Form Factor,True
B084TGSM2N,Assembly Required,False
B084TGSM2N,Package Dimensions,False
B084TGSM2N,Annual Energy Consumption,True
B084TGSM2N,Refrigerator Fresh Food Capacity,True
B084TGSM2N,Item Dimensions Lxwxh,True
B084TGSM2N,Country Of Origin,True
B084TGSM2N,Number Of Drawers,False
B084TGSM2N,Number Of Puzzle Pieces,False
B084TGSM2N,Manufacturer,True
B084TGSM2N,Special Features,True
B084TGSM2N,Scale,False
B084TGSM2N,Installation Type,True
B084TGSM2N,Ice Storage Capacity,False
B084TGSM2N,Batteries Required,True
B084TGSM2N,Product Dimensions,False
B084TGSM2N,Material Type(S),False
B084TGSM2N,Item Height,False
B084TGSM2N,Defrost System,True
B084TGSM2N,Packer,True
B084TGSM2N,Customer Reviews,True
B084TGSM2N,Cooling Type,False
B084TGSM2N,Model Number,False
B084TGSM2N,Volume Capacity Name,True
B084TGSM2N,Language:,False
B084TGSM2N,Date First Available,True
B084TGSM2N,Control Console,False
B084TGSM2N,Door Material,False
B084TGSM2N,Certification,True
B084TGSM2N,Colour,True
B084TGSM2N,Noise Level,False
B084TGSM2N,Voltage,True
B084TGSM2N,Asin,True
B084TGSM2N,Freezer Capacity,True
B084TGSM2N,Capacity,True
B084TGSM2N,Importer,True
